asset_id,file,created_at,creator,service_and_plan,input_sources,prompt_or_brief,output_reference,terms_url,attribution_required,human_edits,release_status,notes
ART-MOOD-001,docs/art/moodboards/world_direction_a_neighborhood_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,text only,docs/art/WORLD_MOODBOARD_ROUND_01.md#A-明るい日常の町,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-04105bce-ab86-4369-a59d-96433037ca9b.png,https://openai.com/policies/service-terms/,verify before release,none,rejected-concept,"Direction A; rejected in round 1; do not ship"
ART-MOOD-002,docs/art/moodboards/world_direction_b_traveling_event_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,text only,docs/art/WORLD_MOODBOARD_ROUND_01.md#B-移動型フードイベント,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-ec4967ae-b07b-4086-bb0f-97992ab3c90e.png,https://openai.com/policies/service-terms/,verify before release,none,rejected-concept,"Direction B; rejected in round 1; do not ship"
ART-MOOD-003,docs/art/moodboards/world_direction_c_impossible_outings_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,text only,docs/art/WORLD_MOODBOARD_ROUND_01.md#C-日常から不思議な出張厨房へ,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-a4ec7e5b-0f3f-44d9-b4aa-16a01d8e40ce.png,https://openai.com/policies/service-terms/,verify before release,none,rejected-concept,"Direction C; rejected in round 1; do not ship"
ART-MOOD-004,docs/art/moodboards/world_round2_a_chunky_kitchen_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,text only,docs/art/WORLD_MOODBOARD_ROUND_02.md#A-角丸ブロック厨房,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-7cde1a3c-2f7f-4067-82ce-228a87da9f19.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Round 2 A; originality base; do not ship as-is"
ART-MOOD-005,docs/art/moodboards/world_round2_b_modular_sky_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,text only,docs/art/WORLD_MOODBOARD_ROUND_02.md#B-色分けモジュール厨房,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-101e295d-c291-4439-b365-1613c3fa5ace.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Round 2 B; readability reference only; similarity risk; do not ship as-is"
ART-MOOD-006,docs/art/moodboards/world_round2_c_river_barge_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,text only,docs/art/WORLD_MOODBOARD_ROUND_02.md#C-川を進む出張厨房,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-c4940cf5-1a84-4bb5-bcc4-ba4c38b1d2a9.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Round 2 C; outing composition reference; do not ship as-is"
ART-ENV-001,docs/art/concepts/tutorial_1_1_square_grid_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-MOOD-004; ART-MOOD-005; ART-MOOD-006",docs/art/VISUAL_DEVELOPMENT_ROUND_03.md#1-チュートリアル1-1完成イメージ,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-c94e732e-a7ce-4f6b-a82a-184c23e5af81.png,https://openai.com/policies/service-terms/,verify before release,none,superseded-concept,"Initial grid scene; holes and plate corrected in ART-ENV-002"
ART-ENV-002,docs/art/concepts/tutorial_1_1_square_grid_v2.png,2026-09-11,OpenAI image generation via Codex,built-in image edit,ART-ENV-001,docs/art/VISUAL_DEVELOPMENT_ROUND_03.md#1-チュートリアル1-1完成イメージ,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-338bb39b-cac7-485c-b5df-8f1c6b5c5870.png,https://openai.com/policies/service-terms/,verify before release,"removed holes; replaced plate with delivery container",concept-only,"Visual direction only; exact grid comes from deterministic stage data"
ART-CHAR-001,docs/art/concepts/cook_character_candidates_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-MOOD-004; ART-MOOD-005; ART-MOOD-006",docs/art/VISUAL_DEVELOPMENT_ROUND_03.md#2-料理人キャラクター候補,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-2848898f-2785-4f12-b349-9840ba207f54.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Three candidates; B recommended; do not ship as-is"
ART-PROP-001,docs/art/concepts/delivery_container_candidates_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-MOOD-004; ART-MOOD-005; ART-MOOD-006",docs/art/VISUAL_DEVELOPMENT_ROUND_03.md#3-共通配達容器候補,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-2190bc5d-39af-44a1-b1c3-da3e6f205697.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Three candidates; A recommended; generated background is opaque"
ART-CHAR-002,docs/art/concepts/cook_roster_two_head_animal_majority_v2.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,ART-CHAR-001,docs/art/VISUAL_DEVELOPMENT_ROUND_04.md#1-約2頭身動物多数の料理人,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-71542d3c-0044-4854-8c9c-fb1247e2c9de.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Six-character direction sheet; four animals and two humans; exact launch roster not decided"
ART-PROP-002,docs/art/concepts/universal_transparent_lid_container_v2.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,ART-PROP-001,docs/art/VISUAL_DEVELOPMENT_ROUND_04.md#2-透明蓋付き共通配達容器,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-838c4216-f854-4875-a251-2a3bf0576dc2.png,https://openai.com/policies/service-terms/,verify before release,none,superseded-concept,"Unified body and transparent lid; generated checkerboard was baked into opaque image"
ART-PROP-003,docs/art/concepts/universal_transparent_lid_container_v3.png,2026-09-11,OpenAI image generation via Codex,built-in image edit,ART-PROP-002,docs/art/VISUAL_DEVELOPMENT_ROUND_04.md#2-透明蓋付き共通配達容器,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-728b9ec0-a519-40be-9acd-f6c550806bf4.png,https://openai.com/policies/service-terms/,verify before release,"replaced baked checkerboard with plain studio background",concept-only,"Same universal container for salad and soup; no inner bowl"
